Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,Temperatur,
2025-12-09,14:14:10.461716,1765286050.461716,s,3e-06,s,73.0,°C
2025-12-09,14:14:10.712140,1765286050.71214,s,0.250427,s,73.0,°C
2025-12-09,14:14:10.962329,1765286050.962329,s,0.500616,s,73.0,°C
2025-12-09,14:14:11.212397,1765286051.212397,s,0.750684,s,73.0,°C
2025-12-09,14:14:11.462647,1765286051.462647,s,1.000934,s,73.0,°C
2025-12-09,14:14:11.712691,1765286051.712691,s,1.250978,s,73.0,°C
2025-12-09,14:14:11.962936,1765286051.962936,s,1.501223,s,73.0,°C
2025-12-09,14:14:12.212934,1765286052.212934,s,1.751221,s,73.0,°C
2025-12-09,14:14:12.463273,1765286052.463273,s,2.00156,s,73.0,°C
2025-12-09,14:14:12.713396,1765286052.713396,s,2.251683,s,73.0,°C
2025-12-09,14:14:12.963736,1765286052.963736,s,2.502023,s,73.0,°C
2025-12-09,14:14:13.213742,1765286053.213742,s,2.752029,s,73.0,°C
2025-12-09,14:14:13.464171,1765286053.464171,s,3.002458,s,73.0,°C
2025-12-09,14:14:13.714251,1765286053.714251,s,3.252538,s,73.0,°C
2025-12-09,14:14:13.964635,1765286053.964635,s,3.502922,s,73.0,°C
2025-12-09,14:14:14.214777,1765286054.214777,s,3.753064,s,73.0,°C
2025-12-09,14:14:14.465026,1765286054.465026,s,4.003313,s,73.0,°C
2025-12-09,14:14:14.715245,1765286054.715245,s,4.253532,s,73.0,°C
2025-12-09,14:14:14.965438,1765286054.965438,s,4.503725,s,73.0,°C
2025-12-09,14:14:15.215706,1765286055.215706,s,4.753993,s,73.0,°C
2025-12-09,14:14:15.465675,1765286055.465675,s,5.003962,s,73.0,°C
2025-12-09,14:14:15.716167,1765286055.716167,s,5.254454,s,73.0,°C
2025-12-09,14:14:15.966003,1765286055.966003,s,5.50429,s,73.0,°C
2025-12-09,14:14:16.216470,1765286056.21647,s,5.754757,s,73.0,°C
2025-12-09,14:14:16.466335,1765286056.466335,s,6.004622,s,73.0,°C
2025-12-09,14:14:16.716812,1765286056.716812,s,6.255099,s,73.0,°C
2025-12-09,14:14:16.966578,1765286056.966578,s,6.504865,s,73.0,°C
2025-12-09,14:14:17.217184,1765286057.217184,s,6.755471,s,73.0,°C
2025-12-09,14:14:17.466912,1765286057.466912,s,7.005199,s,73.0,°C
2025-12-09,14:14:17.717729,1765286057.717729,s,7.256016,s,73.0,°C
2025-12-09,14:14:17.967233,1765286057.967233,s,7.50552,s,73.0,°C
2025-12-09,14:14:18.218249,1765286058.218249,s,7.756536,s,73.0,°C
2025-12-09,14:14:18.467454,1765286058.467454,s,8.005741,s,73.0,°C
2025-12-09,14:14:18.718527,1765286058.718527,s,8.256814,s,73.0,°C
2025-12-09,14:14:18.967764,1765286058.967764,s,8.506051,s,73.0,°C
2025-12-09,14:14:19.218997,1765286059.218997,s,8.757284,s,73.0,°C
2025-12-09,14:14:19.468069,1765286059.468069,s,9.006356,s,73.0,°C
2025-12-09,14:14:19.719344,1765286059.719344,s,9.257631,s,73.0,°C
2025-12-09,14:14:19.968361,1765286059.968361,s,9.506648,s,73.0,°C
2025-12-09,14:14:20.219633,1765286060.219633,s,9.75792,s,73.0,°C
2025-12-09,14:14:20.468897,1765286060.468897,s,10.007184,s,73.0,°C
2025-12-09,14:14:20.720056,1765286060.720056,s,10.258343,s,73.0,°C
2025-12-09,14:14:20.969302,1765286060.969302,s,10.507589,s,73.0,°C
2025-12-09,14:14:21.220530,1765286061.22053,s,10.758817,s,73.0,°C
2025-12-09,14:14:21.469857,1765286061.469857,s,11.008144,s,73.0,°C
2025-12-09,14:14:21.720877,1765286061.720877,s,11.259164,s,73.0,°C
2025-12-09,14:14:21.970268,1765286061.970268,s,11.508555,s,73.0,°C
2025-12-09,14:14:22.221318,1765286062.221318,s,11.759605,s,73.0,°C
2025-12-09,14:14:22.470538,1765286062.470538,s,12.008825,s,73.0,°C
2025-12-09,14:14:22.721558,1765286062.721558,s,12.259845,s,73.0,°C
2025-12-09,14:14:22.971033,1765286062.971033,s,12.50932,s,73.0,°C
2025-12-09,14:14:23.221893,1765286063.221893,s,12.76018,s,73.0,°C
2025-12-09,14:14:23.471516,1765286063.471516,s,13.009803,s,73.0,°C
2025-12-09,14:14:23.722158,1765286063.722158,s,13.260445,s,73.0,°C
2025-12-09,14:14:23.971964,1765286063.971964,s,13.510251,s,73.0,°C
2025-12-09,14:14:24.222494,1765286064.222494,s,13.760781,s,73.0,°C
2025-12-09,14:14:24.472426,1765286064.472426,s,14.010713,s,73.0,°C
2025-12-09,14:14:24.722840,1765286064.72284,s,14.261127,s,73.0,°C
2025-12-09,14:14:24.972927,1765286064.972927,s,14.511214,s,73.0,°C
2025-12-09,14:14:25.223184,1765286065.223184,s,14.761471,s,73.0,°C
2025-12-09,14:14:25.473450,1765286065.47345,s,15.011737,s,73.0,°C
2025-12-09,14:14:25.723457,1765286065.723457,s,15.261744,s,73.0,°C
2025-12-09,14:14:25.973824,1765286065.973824,s,15.512111,s,73.0,°C
2025-12-09,14:14:26.223692,1765286066.223692,s,15.761979,s,73.0,°C
2025-12-09,14:14:26.474329,1765286066.474329,s,16.012616,s,73.0,°C
2025-12-09,14:14:26.723924,1765286066.723924,s,16.262211,s,73.0,°C
2025-12-09,14:14:26.974585,1765286066.974585,s,16.512872,s,73.0,°C
2025-12-09,14:14:27.224290,1765286067.22429,s,16.762577,s,73.0,°C
2025-12-09,14:14:27.475095,1765286067.475095,s,17.013382,s,73.0,°C
2025-12-09,14:14:27.724637,1765286067.724637,s,17.262924,s,73.0,°C
2025-12-09,14:14:27.975553,1765286067.975553,s,17.51384,s,73.0,°C
2025-12-09,14:14:28.224877,1765286068.224877,s,17.763164,s,73.0,°C
2025-12-09,14:14:28.475981,1765286068.475981,s,18.014268,s,73.0,°C
2025-12-09,14:14:28.725333,1765286068.725333,s,18.26362,s,73.0,°C
2025-12-09,14:14:28.976413,1765286068.976413,s,18.5147,s,73.0,°C
2025-12-09,14:14:29.225834,1765286069.225834,s,18.764121,s,73.0,°C
2025-12-09,14:14:29.476729,1765286069.476729,s,19.015016,s,73.0,°C
2025-12-09,14:14:29.726360,1765286069.72636,s,19.264647,s,73.0,°C
2025-12-09,14:14:29.977079,1765286069.977079,s,19.515366,s,73.0,°C
2025-12-09,14:14:30.226655,1765286070.226655,s,19.764942,s,73.0,°C
2025-12-09,14:14:30.477416,1765286070.477416,s,20.015703,s,73.0,°C
2025-12-09,14:14:30.727109,1765286070.727109,s,20.265396,s,73.0,°C
2025-12-09,14:14:30.977785,1765286070.977785,s,20.516072,s,73.0,°C
2025-12-09,14:14:31.227520,1765286071.22752,s,20.765807,s,73.0,°C
2025-12-09,14:14:31.478119,1765286071.478119,s,21.016406,s,73.0,°C
2025-12-09,14:14:31.728006,1765286071.728006,s,21.266293,s,73.0,°C
2025-12-09,14:14:31.978415,1765286071.978415,s,21.516702,s,73.0,°C
2025-12-09,14:14:32.228351,1765286072.228351,s,21.766638,s,73.0,°C
2025-12-09,14:14:32.478747,1765286072.478747,s,22.017034,s,73.0,°C
2025-12-09,14:14:32.728868,1765286072.728868,s,22.267155,s,73.0,°C
2025-12-09,14:14:32.979068,1765286072.979068,s,22.517355,s,73.0,°C
2025-12-09,14:14:33.229336,1765286073.229336,s,22.767623,s,73.0,°C
2025-12-09,14:14:33.479366,1765286073.479366,s,23.017653,s,73.0,°C
2025-12-09,14:14:33.729838,1765286073.729838,s,23.268125,s,73.0,°C
2025-12-09,14:14:33.979651,1765286073.979651,s,23.517938,s,73.0,°C
2025-12-09,14:14:34.230390,1765286074.23039,s,23.768677,s,73.0,°C
2025-12-09,14:14:34.480101,1765286074.480101,s,24.018388,s,73.0,°C
2025-12-09,14:14:34.730907,1765286074.730907,s,24.269194,s,73.0,°C
2025-12-09,14:14:34.980598,1765286074.980598,s,24.518885,s,73.0,°C
2025-12-09,14:14:35.231260,1765286075.23126,s,24.769547,s,73.0,°C
2025-12-09,14:14:35.481127,1765286075.481127,s,25.019414,s,73.0,°C
2025-12-09,14:14:35.731734,1765286075.731734,s,25.270021,s,73.0,°C
2025-12-09,14:14:35.981663,1765286075.981663,s,25.51995,s,73.0,°C
2025-12-09,14:14:36.232179,1765286076.232179,s,25.770466,s,73.0,°C
2025-12-09,14:14:36.482099,1765286076.482099,s,26.020386,s,73.0,°C
2025-12-09,14:14:36.732637,1765286076.732637,s,26.270924,s,73.0,°C
2025-12-09,14:14:36.982403,1765286076.982403,s,26.52069,s,73.0,°C
2025-12-09,14:14:37.233084,1765286077.233084,s,26.771371,s,73.0,°C
2025-12-09,14:14:37.482873,1765286077.482873,s,27.02116,s,73.0,°C
2025-12-09,14:14:37.733414,1765286077.733414,s,27.271701,s,73.0,°C
2025-12-09,14:14:37.983378,1765286077.983378,s,27.521665,s,73.0,°C
2025-12-09,14:14:38.233763,1765286078.233763,s,27.77205,s,73.0,°C
2025-12-09,14:14:38.483831,1765286078.483831,s,28.022118,s,73.0,°C
2025-12-09,14:14:38.734120,1765286078.73412,s,28.272407,s,73.0,°C
2025-12-09,14:14:38.984210,1765286078.98421,s,28.522497,s,73.0,°C
2025-12-09,14:14:39.234408,1765286079.234408,s,28.772695,s,73.0,°C
2025-12-09,14:14:39.484525,1765286079.484525,s,29.022812,s,73.0,°C
2025-12-09,14:14:39.734651,1765286079.734651,s,29.272938,s,73.0,°C
2025-12-09,14:14:39.984980,1765286079.98498,s,29.523267,s,73.0,°C
2025-12-09,14:14:40.234916,1765286080.234916,s,29.773203,s,73.0,°C
2025-12-09,14:14:40.485303,1765286080.485303,s,30.02359,s,73.0,°C
2025-12-09,14:14:40.735189,1765286080.735189,s,30.273476,s,73.0,°C
2025-12-09,14:14:40.985812,1765286080.985812,s,30.524099,s,73.0,°C
2025-12-09,14:14:41.235482,1765286081.235482,s,30.773769,s,73.0,°C
2025-12-09,14:14:41.486316,1765286081.486316,s,31.024603,s,73.0,°C
2025-12-09,14:14:41.735734,1765286081.735734,s,31.274021,s,73.0,°C
2025-12-09,14:14:41.986555,1765286081.986555,s,31.524842,s,73.0,°C
2025-12-09,14:14:42.236153,1765286082.236153,s,31.77444,s,73.0,°C
2025-12-09,14:14:42.486959,1765286082.486959,s,32.025246,s,73.0,°C
2025-12-09,14:14:42.736613,1765286082.736613,s,32.2749,s,73.0,°C
2025-12-09,14:14:42.987262,1765286082.987262,s,32.525549,s,72.0,°C
2025-12-09,14:14:43.237011,1765286083.237011,s,32.775298,s,72.0,°C
2025-12-09,14:14:43.487527,1765286083.487527,s,33.025814,s,72.0,°C
2025-12-09,14:14:43.737464,1765286083.737464,s,33.275751,s,72.0,°C
2025-12-09,14:14:43.987868,1765286083.987868,s,33.526155,s,72.0,°C
2025-12-09,14:14:44.237984,1765286084.237984,s,33.776271,s,72.0,°C
2025-12-09,14:14:44.488316,1765286084.488316,s,34.026603,s,72.0,°C
2025-12-09,14:14:44.738516,1765286084.738516,s,34.276803,s,73.0,°C
2025-12-09,14:14:44.988577,1765286084.988577,s,34.526864,s,73.0,°C
2025-12-09,14:14:45.238947,1765286085.238947,s,34.777234,s,73.0,°C
2025-12-09,14:14:45.488921,1765286085.488921,s,35.027208,s,73.0,°C
2025-12-09,14:14:45.739365,1765286085.739365,s,35.277652,s,73.0,°C
2025-12-09,14:14:45.989256,1765286085.989256,s,35.527543,s,73.0,°C
2025-12-09,14:14:46.239815,1765286086.239815,s,35.778102,s,73.0,°C
2025-12-09,14:14:46.489578,1765286086.489578,s,36.027865,s,73.0,°C
2025-12-09,14:14:46.740159,1765286086.740159,s,36.278446,s,73.0,°C
2025-12-09,14:14:46.989904,1765286086.989904,s,36.528191,s,73.0,°C
2025-12-09,14:14:47.240657,1765286087.240657,s,36.778944,s,73.0,°C
2025-12-09,14:14:47.490234,1765286087.490234,s,37.028521,s,73.0,°C
2025-12-09,14:14:47.741131,1765286087.741131,s,37.279418,s,73.0,°C
2025-12-09,14:14:47.990511,1765286087.990511,s,37.528798,s,73.0,°C
2025-12-09,14:14:48.241594,1765286088.241594,s,37.779881,s,73.0,°C
2025-12-09,14:14:48.490795,1765286088.490795,s,38.029082,s,73.0,°C
2025-12-09,14:14:48.742122,1765286088.742122,s,38.280409,s,73.0,°C
2025-12-09,14:14:48.991173,1765286088.991173,s,38.52946,s,73.0,°C
2025-12-09,14:14:49.242613,1765286089.242613,s,38.7809,s,73.0,°C
2025-12-09,14:14:49.491506,1765286089.491506,s,39.029793,s,73.0,°C
2025-12-09,14:14:49.743063,1765286089.743063,s,39.28135,s,73.0,°C
2025-12-09,14:14:49.991965,1765286089.991965,s,39.530252,s,73.0,°C
2025-12-09,14:14:50.243301,1765286090.243301,s,39.781588,s,73.0,°C
2025-12-09,14:14:50.492386,1765286090.492386,s,40.030673,s,72.0,°C
2025-12-09,14:14:50.743746,1765286090.743746,s,40.282033,s,72.0,°C
2025-12-09,14:14:50.992701,1765286090.992701,s,40.530988,s,72.0,°C
2025-12-09,14:14:51.244168,1765286091.244168,s,40.782455,s,72.0,°C
2025-12-09,14:14:51.493210,1765286091.49321,s,41.031497,s,72.0,°C
2025-12-09,14:14:51.744607,1765286091.744607,s,41.282894,s,72.0,°C
2025-12-09,14:14:51.993686,1765286091.993686,s,41.531973,s,72.0,°C
2025-12-09,14:14:52.245024,1765286092.245024,s,41.783311,s,72.0,°C
2025-12-09,14:14:52.494204,1765286092.494204,s,42.032491,s,72.0,°C
2025-12-09,14:14:52.745466,1765286092.745466,s,42.283753,s,72.0,°C
2025-12-09,14:14:52.994762,1765286092.994762,s,42.533049,s,72.0,°C
2025-12-09,14:14:53.245862,1765286093.245862,s,42.784149,s,72.0,°C
2025-12-09,14:14:53.495207,1765286093.495207,s,43.033494,s,72.0,°C
2025-12-09,14:14:53.746189,1765286093.746189,s,43.284476,s,72.0,°C
2025-12-09,14:14:53.995742,1765286093.995742,s,43.534029,s,72.0,°C
2025-12-09,14:14:54.246405,1765286094.246405,s,43.784692,s,72.0,°C
2025-12-09,14:14:54.496243,1765286094.496243,s,44.03453,s,72.0,°C
2025-12-09,14:14:54.746840,1765286094.74684,s,44.285127,s,72.0,°C
2025-12-09,14:14:54.996803,1765286094.996803,s,44.53509,s,72.0,°C
2025-12-09,14:14:55.247171,1765286095.247171,s,44.785458,s,72.0,°C
2025-12-09,14:14:55.497045,1765286095.497045,s,45.035332,s,72.0,°C
2025-12-09,14:14:55.747410,1765286095.74741,s,45.285697,s,72.0,°C
2025-12-09,14:14:55.997524,1765286095.997524,s,45.535811,s,72.0,°C
2025-12-09,14:14:56.247724,1765286096.247724,s,45.786011,s,72.0,°C
2025-12-09,14:14:56.497944,1765286096.497944,s,46.036231,s,72.0,°C
2025-12-09,14:14:56.747990,1765286096.74799,s,46.286277,s,72.0,°C
2025-12-09,14:14:56.998419,1765286096.998419,s,46.536706,s,72.0,°C
2025-12-09,14:14:57.248273,1765286097.248273,s,46.78656,s,72.0,°C
2025-12-09,14:14:57.498871,1765286097.498871,s,47.037158,s,72.0,°C
2025-12-09,14:14:57.748778,1765286097.748778,s,47.287065,s,72.0,°C
2025-12-09,14:14:57.999332,1765286097.999332,s,47.537619,s,72.0,°C
2025-12-09,14:14:58.249214,1765286098.249214,s,47.787501,s,72.0,°C
2025-12-09,14:14:58.499805,1765286098.499805,s,48.038092,s,72.0,°C
2025-12-09,14:14:58.749749,1765286098.749749,s,48.288036,s,72.0,°C
2025-12-09,14:14:59.000261,1765286099.000261,s,48.538548,s,72.0,°C
2025-12-09,14:14:59.250207,1765286099.250207,s,48.788494,s,72.0,°C
2025-12-09,14:14:59.500697,1765286099.500697,s,49.038984,s,72.0,°C
2025-12-09,14:14:59.750702,1765286099.750702,s,49.288989,s,72.0,°C
2025-12-09,14:15:00.000974,1765286100.000974,s,49.539261,s,72.0,°C
2025-12-09,14:15:00.250993,1765286100.250993,s,49.78928,s,72.0,°C
2025-12-09,14:15:00.501342,1765286100.501342,s,50.039629,s,72.0,°C
2025-12-09,14:15:00.751411,1765286100.751411,s,50.289698,s,72.0,°C
2025-12-09,14:15:01.001747,1765286101.001747,s,50.540034,s,72.0,°C
2025-12-09,14:15:01.251775,1765286101.251775,s,50.790062,s,72.0,°C
2025-12-09,14:15:01.502086,1765286101.502086,s,51.040373,s,72.0,°C
2025-12-09,14:15:01.752269,1765286101.752269,s,51.290556,s,72.0,°C
2025-12-09,14:15:02.002422,1765286102.002422,s,51.540709,s,72.0,°C
2025-12-09,14:15:02.252710,1765286102.25271,s,51.790997,s,72.0,°C
2025-12-09,14:15:02.502787,1765286102.502787,s,52.041074,s,72.0,°C
2025-12-09,14:15:02.753175,1765286102.753175,s,52.291462,s,72.0,°C
2025-12-09,14:15:03.003122,1765286103.003122,s,52.541409,s,72.0,°C
2025-12-09,14:15:03.253707,1765286103.253707,s,52.791994,s,72.0,°C
2025-12-09,14:15:03.503487,1765286103.503487,s,53.041774,s,72.0,°C
2025-12-09,14:15:03.754092,1765286103.754092,s,53.292379,s,72.0,°C
2025-12-09,14:15:04.003894,1765286104.003894,s,53.542181,s,72.0,°C
2025-12-09,14:15:04.254406,1765286104.254406,s,53.792693,s,72.0,°C
2025-12-09,14:15:04.504275,1765286104.504275,s,54.042562,s,72.0,°C
2025-12-09,14:15:04.754925,1765286104.754925,s,54.293212,s,72.0,°C
2025-12-09,14:15:05.004524,1765286105.004524,s,54.542811,s,72.0,°C
2025-12-09,14:15:05.255438,1765286105.255438,s,54.793725,s,72.0,°C
2025-12-09,14:15:05.504849,1765286105.504849,s,55.043136,s,72.0,°C
2025-12-09,14:15:05.755745,1765286105.755745,s,55.294032,s,72.0,°C
2025-12-09,14:15:06.005090,1765286106.00509,s,55.543377,s,72.0,°C
2025-12-09,14:15:06.256115,1765286106.256115,s,55.794402,s,72.0,°C
2025-12-09,14:15:06.505641,1765286106.505641,s,56.043928,s,72.0,°C
2025-12-09,14:15:06.756582,1765286106.756582,s,56.294869,s,72.0,°C
2025-12-09,14:15:07.006200,1765286107.0062,s,56.544487,s,72.0,°C
2025-12-09,14:15:07.257008,1765286107.257008,s,56.795295,s,72.0,°C
2025-12-09,14:15:07.506717,1765286107.506717,s,57.045004,s,72.0,°C
2025-12-09,14:15:07.757446,1765286107.757446,s,57.295733,s,72.0,°C
2025-12-09,14:15:08.007239,1765286108.007239,s,57.545526,s,72.0,°C
2025-12-09,14:15:08.257774,1765286108.257774,s,57.796061,s,72.0,°C
2025-12-09,14:15:08.507531,1765286108.507531,s,58.045818,s,72.0,°C
2025-12-09,14:15:08.758120,1765286108.75812,s,58.296407,s,72.0,°C
2025-12-09,14:15:09.008073,1765286109.008073,s,58.54636,s,72.0,°C
2025-12-09,14:15:09.258411,1765286109.258411,s,58.796698,s,72.0,°C
2025-12-09,14:15:09.508584,1765286109.508584,s,59.046871,s,72.0,°C
2025-12-09,14:15:09.758747,1765286109.758747,s,59.297034,s,72.0,°C
2025-12-09,14:15:10.009036,1765286110.009036,s,59.547323,s,72.0,°C
2025-12-09,14:15:10.259090,1765286110.25909,s,59.797377,s,72.0,°C
2025-12-09,14:15:10.509495,1765286110.509495,s,60.047782,s,72.0,°C
2025-12-09,14:15:10.759416,1765286110.759416,s,60.297703,s,72.0,°C
2025-12-09,14:15:11.009945,1765286111.009945,s,60.548232,s,72.0,°C
