t	x1	y1	vx1	vy1	v1	x2	y2	vx2	vy2	v2	
1,666667E-2	1,176546E-1	-1,313422E-1	-1,807899E-1	3,825032E-1	4,230764E-1	2,587866E-1	-1,193467E-1	-1,539964E-1	-1,039815E-1	1,858145E-1
3,333333E-2	1,151675E-1	-1,251905E-1	-1,589968E-1	3,820314E-1	4,137971E-1	2,562047E-1	-1,211342E-1	-1,552027E-1	-1,062586E-1	1,880924E-1
5,000000E-2	1,123547E-1	-1,186078E-1	-1,562928E-1	3,890873E-1	4,193046E-1	2,536132E-1	-1,228887E-1	-1,633932E-1	-9,636212E-2	1,896919E-1
6,666667E-2	1,099577E-1	-1,122209E-1	-1,357416E-1	3,787159E-1	4,023078E-1	2,507583E-1	-1,243463E-1	-1,813530E-1	-8,575587E-2	2,006065E-1
8,333333E-2	1,078299E-1	-1,059839E-1	-1,297665E-1	3,835278E-1	4,048863E-1	2,475681E-1	-1,257472E-1	-2,018550E-1	-9,095644E-2	2,214012E-1
1,000000E-1	1,056322E-1	-9,943667E-2	-1,156348E-1	3,762915E-1	3,936581E-1	2,440298E-1	-1,273782E-1	-2,185120E-1	-9,642334E-2	2,388409E-1
1,166667E-1	1,039754E-1	-9,344090E-2	-8,921368E-2	3,643055E-1	3,750701E-1	2,402844E-1	-1,289613E-1	-2,321705E-1	-8,502979E-2	2,472513E-1
1,333333E-1	1,026584E-1	-8,729315E-2	-6,976173E-2	3,596512E-1	3,663546E-1	2,362908E-1	-1,302125E-1	-2,239927E-1	-8,846936E-2	2,408310E-1
1,500000E-1	1,016501E-1	-8,145252E-2	-6,157955E-2	3,556284E-1	3,609205E-1	2,328179E-1	-1,319103E-1	-2,179900E-1	-9,542388E-2	2,379608E-1
1,666667E-1	1,006057E-1	-7,543887E-2	-5,730174E-2	3,557351E-1	3,603206E-1	2,290245E-1	-1,333933E-1	-2,516778E-1	-6,122607E-2	2,590180E-1
1,833333E-1	9,974000E-2	-6,959468E-2	-4,573662E-2	3,477244E-1	3,507194E-1	2,244287E-1	-1,339512E-1	-2,558774E-1	-6,170656E-2	2,632128E-1
2,000000E-1	9,908119E-2	-6,384806E-2	-2,666081E-2	3,347770E-1	3,358369E-1	2,204952E-1	-1,354502E-1	-2,401208E-1	-8,792175E-2	2,557112E-1
2,166667E-1	9,885130E-2	-5,843545E-2	-9,288508E-3	3,211303E-1	3,212646E-1	2,164247E-1	-1,368819E-1	-2,668162E-1	-6,724770E-2	2,751602E-1
2,333333E-1	9,877158E-2	-5,314372E-2	-2,868284E-4	3,121878E-1	3,121879E-1	2,116013E-1	-1,376918E-1	-2,928076E-1	-4,508447E-2	2,962582E-1
2,500000E-1	9,884174E-2	-4,802919E-2	6,412253E-3	3,092247E-1	3,092912E-1	2,066644E-1	-1,383847E-1	-3,001441E-1	-5,236958E-2	3,046786E-1
