t,x,y
0.000,0.411,0.116
0.017,0.411,0.115
0.033,0.410,0.113
0.050,0.410,0.112
0.067,0.410,0.111
0.083,0.409,0.109
0.100,0.409,0.108
0.117,0.409,0.107
0.133,0.408,0.104
0.150,0.408,0.103
0.167,0.408,0.102
0.183,0.407,9.971E-2
0.200,0.407,9.836E-2
0.217,0.406,9.581E-2
0.233,0.407,9.439E-2
0.250,0.406,9.306E-2
0.267,0.406,9.040E-2
0.283,0.406,8.892E-2
0.300,0.405,8.633E-2
0.317,0.405,8.462E-2
0.333,0.404,8.196E-2
0.350,0.404,8.014E-2
0.367,0.403,7.747E-2
0.383,0.403,7.556E-2
0.400,0.403,7.275E-2
0.417,0.402,7.081E-2
0.433,0.402,6.785E-2
0.450,0.401,6.580E-2
0.467,0.401,6.272E-2
0.483,0.401,6.063E-2
0.500,0.400,5.742E-2
0.517,0.400,5.534E-2
0.533,0.399,5.210E-2
0.550,0.399,4.977E-2
0.567,0.398,4.643E-2
0.583,0.398,4.398E-2
0.600,0.397,4.057E-2
0.617,0.397,3.810E-2
0.633,0.397,3.456E-2
0.650,0.396,3.113E-2
0.667,0.396,2.861E-2
0.683,0.395,2.494E-2
0.700,0.395,2.219E-2
0.717,0.394,1.851E-2
0.733,0.393,1.475E-2
0.750,0.393,1.197E-2
0.767,0.392,8.192E-3
0.783,0.392,5.153E-3
0.800,0.391,1.268E-3
0.817,0.391,-2.763E-3
0.833,0.390,-5.858E-3
0.850,0.390,-9.946E-3
0.867,0.389,-1.399E-2
0.883,0.389,-1.716E-2
0.900,0.388,-2.142E-2
0.917,0.387,-2.554E-2
0.933,0.387,-2.908E-2
0.950,0.386,-3.344E-2
0.967,0.386,-3.784E-2
0.983,0.385,-4.227E-2
1.000,0.384,-4.660E-2
1.017,0.384,-5.037E-2
1.033,0.383,-5.486E-2
1.050,0.382,-5.954E-2
1.067,0.382,-6.355E-2
1.083,0.381,-6.812E-2
1.100,0.381,-7.291E-2
1.117,0.380,-7.766E-2
1.133,0.379,-8.250E-2
1.150,0.379,-8.684E-2
1.167,0.378,-9.185E-2
1.183,0.377,-9.686E-2
1.200,0.377,-0.102
1.217,0.376,-0.107
1.233,0.375,-0.112
1.250,0.374,-0.117
1.267,0.374,-0.122
1.283,0.373,-0.128
1.300,0.372,-0.133
1.317,0.372,-0.138
1.333,0.371,-0.143
1.350,0.371,-0.149
1.367,0.370,-0.154
1.383,0.369,-0.160
1.400,0.369,-0.165
1.417,0.368,-0.171
1.433,0.367,-0.176
1.450,0.367,-0.182
1.467,0.366,-0.188
1.483,0.365,-0.194
1.500,0.364,-0.200
1.517,0.364,-0.205
1.533,0.363,-0.212
1.550,0.362,-0.217
1.567,0.362,-0.224
1.583,0.361,-0.230
1.600,0.360,-0.236
1.617,0.360,-0.242
1.633,0.359,-0.249
1.650,0.358,-0.255
1.667,0.357,-0.261
1.683,0.357,-0.268
1.700,0.356,-0.275
1.717,0.355,-0.281
1.733,0.354,-0.287
1.750,0.354,-0.294
1.767,0.353,-0.300
1.783,0.352,-0.306
1.800,0.352,-0.313
1.817,0.351,-0.320
1.833,0.350,-0.327

