t,x1,y1,v1,x2,y2,v2
0.017,0.355,-0.280,0.210,0.335,-0.290,9.068E-2
0.033,0.355,-0.276,0.223,0.337,-0.289,0.117
0.050,0.354,-0.272,0.180,0.339,-0.288,0.135
0.067,0.355,-0.270,0.187,0.341,-0.286,0.155
0.083,0.355,-0.266,0.189,0.343,-0.285,0.187
0.100,0.355,-0.264,0.208,0.346,-0.283,0.209
0.117,0.354,-0.259,0.247,0.348,-0.280,0.217
0.133,0.354,-0.256,0.214,0.351,-0.277,0.241
0.150,0.355,-0.252,0.186,0.353,-0.274,0.265
0.167,0.355,-0.250,0.190,0.356,-0.271,0.277
0.183,0.355,-0.246,0.170,0.359,-0.267,0.305
0.200,0.356,-0.244,0.262,0.362,-0.262,0.325
0.217,0.354,-0.237,0.315,0.364,-0.257,0.333
0.233,0.354,-0.234,0.210,0.367,-0.252,0.341
0.250,0.354,-0.230,0.210,0.369,-0.247,0.353
0.267,0.353,-0.227,0.219,0.370,-0.241,0.365
0.283,0.354,-0.223,0.230,0.372,-0.235,0.375
0.300,0.354,-0.219,0.227,0.373,-0.229,0.403
0.317,0.354,-0.215,0.236,0.374,-0.222,0.396
0.333,0.353,-0.211,0.234,0.375,-0.216,0.387
0.350,0.353,-0.208,0.216,0.375,-0.209,0.398
0.367,0.353,-0.204,0.211,0.374,-0.202,0.401
0.383,0.353,-0.201,0.232,0.374,-0.196,0.392
0.400,0.352,-0.196,0.227,0.373,-0.189,0.388
0.417,0.353,-0.193,0.226,0.371,-0.183,0.386
0.433,0.352,-0.189,0.239,0.369,-0.177,0.386
0.450,0.352,-0.185,0.217,0.367,-0.171,0.388
0.467,0.352,-0.182,0.237,0.364,-0.165,0.370
0.483,0.351,-0.177,0.237,0.362,-0.160,0.360
0.500,0.351,-0.174,0.222,0.359,-0.154,0.356
0.517,0.351,-0.170,0.245,0.356,-0.150,0.337
0.533,0.350,-0.166,0.236,0.352,-0.145,0.319
0.550,0.350,-0.162,0.211,0.349,-0.141,0.301
0.567,0.350,-0.159,0.233,0.346,-0.138,0.283
0.583,0.350,-0.154,0.248,0.342,-0.135,0.255
0.600,0.349,-0.150,0.234,0.339,-0.132,0.236
0.617,0.348,-0.147,0.227,0.336,-0.129,0.229
0.633,0.349,-0.143,0.239,0.333,-0.127,0.201
0.650,0.348,-0.139,0.251,0.331,-0.125,0.177
0.667,0.347,-0.135,0.233,0.329,-0.124,0.152
0.683,0.347,-0.131,0.228,0.327,-0.123,0.127
0.700,0.346,-0.127,0.245,0.325,-0.121,0.109
0.717,0.346,-0.123,0.231,0.324,-0.120,8.866E-2
0.733,0.345,-0.119,0.231,0.323,-0.119,6.932E-2
0.750,0.345,-0.115,0.245,0.322,-0.119,5.503E-2
0.767,0.344,-0.111,0.236,0.322,-0.118,5.806E-2
0.783,0.344,-0.108,0.232,0.323,-0.117,7.540E-2
0.800,0.343,-0.104,0.241,0.323,-0.115,9.486E-2
0.817,0.342,-9.958E-2,0.239,0.324,-0.114,0.115
0.833,0.342,-9.577E-2,0.230,0.326,-0.112,0.141
0.850,0.341,-9.207E-2,0.231,0.327,-0.110,0.167
0.867,0.340,-8.827E-2,0.235,0.329,-0.108,0.187
0.883,0.339,-8.441E-2,0.230,0.331,-0.106,0.204
0.900,0.339,-8.067E-2,0.234,0.333,-0.103,0.230
0.917,0.338,-7.669E-2,0.231,0.336,-9.940E-2,0.243
0.933,0.337,-7.315E-2,0.227,0.338,-9.602E-2,0.259
0.950,0.336,-6.926E-2,0.236,0.340,-9.203E-2,0.287
0.967,0.336,-6.537E-2,0.230,0.343,-8.765E-2,0.310
0.983,0.335,-6.165E-2,0.236,0.345,-8.285E-2,0.320
1.000,0.335,-5.753E-2,0.242,0.347,-7.799E-2,0.345
1.017,0.335,-5.362E-2,0.242,0.349,-7.210E-2,0.370
1.033,0.334,-4.957E-2,0.248,0.351,-6.622E-2,0.363
1.050,0.333,-4.549E-2,0.243,0.352,-6.038E-2,0.369
1.067,0.332,-4.165E-2,0.232,0.353,-5.410E-2,0.382
1.083,0.332,-3.786E-2,0.245,0.354,-4.773E-2,0.404
