x_mm,T_C
0.000000,28.800045
1.581139,28.800045
1.581139,28.883125
2.549510,28.883125
2.549510,28.774132
3.535534,28.774132
3.535534,28.830059
4.527693,28.830059
4.527693,28.857885
5.522681,28.857885
5.522681,28.901539
6.519202,28.901539
6.519202,28.838444
7.516648,28.838444
7.516648,28.641935
8.514693,28.641935
8.514693,28.700966
9.513149,28.700966
9.513149,28.570856
10.511898,28.570856
10.511898,28.608957
11.510864,28.608957
11.510864,28.747297
12.509996,28.747297
12.509996,28.750540
13.509256,28.750540
13.509256,28.456787
14.508618,28.456787
14.508618,28.558056
15.508062,28.558056
15.508062,28.361086
16.507574,28.361086
16.507574,28.605589
17.507141,28.605589
17.507141,28.411594
18.506756,28.411594
18.506756,28.360176
19.506409,28.360176
19.506409,28.187033
20.506097,28.187033
20.506097,28.267189
21.505813,28.267189
21.505813,28.184938
22.505555,28.184938
22.505555,28.128809
23.505319,28.128809
23.505319,28.080294
24.505102,28.080294
24.505102,28.246912
25.504901,28.246912
25.504901,28.201996
26.504717,28.201996
26.504717,27.935514
27.504545,27.935514
27.504545,28.108965
28.504386,28.108965
28.504386,27.991257
29.504237,27.991257
29.504237,28.030802
30.504098,28.030802
30.504098,27.777603
31.503968,27.777603
31.503968,27.743561
32.503846,27.743561
32.503846,27.831520
33.503731,27.831520
33.503731,27.700335
34.503623,27.700335
34.503623,27.665293
35.503521,27.665293
35.503521,27.709820
36.503424,27.709820
36.503424,27.732723
37.503333,27.732723
37.503333,27.467762
38.503247,27.467762
38.503247,27.535152
39.503164,27.535152
39.503164,27.591467
40.503086,27.591467
40.503086,27.486469
41.503012,27.486469
41.503012,27.324602
42.502941,27.324602
42.502941,27.333937
43.502873,27.333937
43.502873,27.296928
44.502809,27.296928
44.502809,27.374846
45.502747,27.374846
45.502747,27.308664
46.502688,27.308664
46.502688,27.201508
47.502632,27.201508
47.502632,27.245531
48.502577,27.245531
48.502577,27.117847
49.502525,27.117847
49.502525,27.222260
50.502475,27.222260
50.502475,27.001371
51.502427,27.001371
51.502427,27.068064
52.502381,27.068064
52.502381,27.175402
53.502336,27.175402
53.502336,26.945732
54.502294,26.945732
54.502294,26.796621
55.502252,26.796621
55.502252,26.721310
56.502212,26.721310
56.502212,26.730030
57.502174,26.730030
57.502174,26.662615
58.502137,26.662615
58.502137,26.866882
59.502101,26.866882
59.502101,26.681774
60.502066,26.681774
60.502066,26.711329
61.502032,26.711329
61.502032,26.628761
62.502000,26.628761
62.502000,26.595116
63.501968,26.595116
63.501968,26.485977
64.501938,26.485977
64.501938,26.504177
65.501908,26.504177
65.501908,26.508928
66.501880,26.508928
66.501880,26.370043
67.501852,26.370043
67.501852,26.284468
68.501825,26.284468
68.501825,26.367580
69.501799,26.367580
69.501799,26.292355
70.501773,26.292355
70.501773,26.153206
71.501748,26.153206
71.501748,26.269716
72.501724,26.269716
72.501724,26.349440
73.501701,26.349440
73.501701,26.247585
74.501678,26.247585
74.501678,25.953056
75.501656,25.953056
75.501656,25.971188
76.501634,25.971188
76.501634,25.816792
77.501613,25.816792
77.501613,25.843046
78.501592,25.843046
78.501592,25.758301
79.501572,25.758301
79.501572,25.805897
80.501553,25.805897
80.501553,25.650829
81.501534,25.650829
81.501534,25.809820
82.501515,25.809820
82.501515,25.808409
83.501497,25.808409
83.501497,25.694540
84.501479,25.694540
84.501479,25.714127
85.501462,25.714127
85.501462,25.429495
86.501445,25.429495
86.501445,25.574430
87.501429,25.574430
87.501429,25.663183
88.501412,25.663183
88.501412,25.367802
89.501397,25.367802
89.501397,25.331467
90.501381,25.331467
90.501381,25.407711
91.501366,25.407711
91.501366,25.561205
92.501351,25.561205
92.501351,25.384127
93.501337,25.384127
93.501337,25.167747
94.501323,25.167747
94.501323,25.236326
94.000000,25.236326
